DayNumber;Hour;Trx;Promotor 1;Promotor 2;Promotor 3;Promotor 4;Promotor 5;Promotor 6;Promotor 7;Promotor 8;Promotor 9;Promotor 10;Promotor 11;Promotor 12;TrxDelta;Comentario;No Promotores por hora
1;0;5,67;X;;;;;;;;;;;;16,33;Ocio bajo;1
1;1;4;X;;;;;;;;;;;;18;Ocio bajo;1
1;2;3;X;;;;;;;;;;;;19;Ocio bajo;1
1;3;8,67;X;;;;;;;;;;;;13,33;Ocio bajo;1
1;4;32;X;X;;;;;;;;;;;12;Ocio bajo;2
1;5;71,67;X;X;X;;;;;;X;;;;16,33;Ocio bajo;4
1;6;77,67;X;X;X;;;;;;X;;;;10,33;Ocio bajo;4
1;7;78;X;X;X;;;;;;X;;;;10;Ocio bajo;4
1;8;68;X;X;X;;;;;;X;;;;20;Ocio bajo;4
1;9;62,33;;X;X;X;;;;;;;X;;25,67;Ocio bajo;4
1;10;68,67;;X;X;X;;;;;;;X;;19,33;Ocio bajo;4
1;11;56,67;;X;X;X;;;;;;;X;;31,33;Ocio alto;4
1;12;62,67;;X;X;X;;;;;;;X;;25,33;Ocio bajo;4
1;13;52,33;;;X;X;X;;;;;;;;13,67;Ocio bajo;3
1;14;57,67;;;;X;X;;X;;;;;;8,33;Ocio bajo;3
1;15;72,67;;;;X;X;;X;X;;;;;15,33;Ocio bajo;4
1;16;78;;;;X;X;;X;X;;;;;10;Ocio bajo;4
1;17;68,67;;;;X;X;;X;X;;;;;19,33;Ocio bajo;4
1;18;65,67;;;;;X;;X;X;;;;;0,33;Ocio bajo;3
1;19;62,33;;;;;X;;X;X;;;;;3,67;Ocio bajo;3
1;20;41,67;;;;;X;;X;;;X;;;24,33;Ocio bajo;3
1;21;25,33;;;;;X;;X;;;X;;;40,67;Ocio alto;3
1;22;15;;;;;;;;;;X;;;7;Ocio bajo;1
1;23;10,67;;;;;;;;;;X;;;11,33;Ocio bajo;1
2;0;6;;;;;;X;;;;;;;16;Ocio bajo;1
2;1;6,5;;;;;;X;;;;;;;15,5;Ocio bajo;1
2;2;4,25;;;;;;X;;;;;;;17,75;Ocio bajo;1
2;3;11,5;;;;;;X;;;;;;;10,5;Ocio bajo;1
2;4;27,25;;;;;;X;;;;;;X;16,75;Ocio bajo;2
2;5;51,25;X;;;;;X;;;;;;X;14,75;Ocio bajo;3
2;6;84;X;;;X;;X;;;;;;X;4;Ocio bajo;4
2;7;72,25;X;;;X;;X;;;;;;X;15,75;Ocio bajo;4
2;8;67;X;;;X;;X;;;;X;;X;43;Ocio alto;5
2;9;68;X;;;X;X;;;;;X;;X;42;Ocio alto;5
2;10;45,5;;;;;X;;;;;X;;X;20,5;Ocio bajo;3
2;11;44;;;;;X;;;;;X;;X;22;Ocio bajo;3
2;12;61,25;;;;;X;;;;;X;X;X;26,75;Ocio bajo;4
2;13;56,5;;;;;;;;X;;X;X;;9,5;Ocio bajo;3
2;14;52,75;;;;;;;;X;;X;X;;13,25;Ocio bajo;3
2;15;66;;;;;;;;X;;X;X;;0;Normalizado;3
2;16;71,75;;;;;;;X;X;;X;X;;16,25;Ocio bajo;4
2;17;65,75;;;;;;;X;X;;;X;;0,25;Ocio bajo;3
2;18;59,5;;;;;;;X;X;;;X;;6,5;Ocio bajo;3
2;19;56;;;;;;;X;X;;;X;;10;Ocio bajo;3
2;20;39,25;;;X;;;;;X;;;X;;26,75;Ocio bajo;3
2;21;27,75;;;X;;;;;X;;;;;16,25;Ocio bajo;2
2;22;16,5;;;X;;;;;;;;;;5,5;Ocio bajo;1
2;23;10,5;;;X;;;;;;;;;;11,5;Ocio bajo;1
3;0;7,25;;;;;;;;;X;;;;14,75;Ocio bajo;1
3;1;5,25;;;;;;;;;X;;;;16,75;Ocio bajo;1
3;2;7,5;;;;;;;;;X;;;;14,5;Ocio bajo;1
3;3;12,25;;;;;;;;;X;;;;9,75;Ocio bajo;1
3;4;19,5;;;;;;;;;X;;;;2,5;Ocio bajo;1
3;5;50,5;;X;;;;X;;;X;;;;15,5;Ocio bajo;3
3;6;71,75;;X;;;;X;;;X;;X;;16,25;Ocio bajo;4
3;7;69,5;;X;;;;X;;;X;;X;;18,5;Ocio bajo;4
3;8;64,5;;X;;;;X;;;X;;X;;23,5;Ocio bajo;4
3;9;69,25;;X;;;;X;X;;;;X;;18,75;Ocio bajo;4
3;10;58,5;;X;;;;X;X;X;;;;;29,5;Ocio bajo;4
3;11;60;;X;;;;X;X;X;;;;;28;Ocio bajo;4
3;12;52,75;;X;;;;X;X;X;;;;;35,25;Ocio alto;4
3;13;55,75;;X;;;;X;X;X;;;;;32,25;Ocio alto;4
3;14;62,75;;;X;X;;;X;X;;;;;25,25;Ocio bajo;4
3;15;67,25;;;X;X;;;X;X;;;;;20,75;Ocio bajo;4
3;16;67,75;;;X;X;;;X;;;X;;;20,25;Ocio bajo;4
3;17;72,25;;;X;X;;;X;;;X;;;15,75;Ocio bajo;4
3;18;72,5;X;;X;X;;;;;;X;;;15,5;Ocio bajo;4
3;19;61,5;X;;X;X;;;;;;X;;;26,5;Ocio bajo;4
3;20;39,25;X;;X;X;;;;;;;;;26,75;Ocio bajo;3
3;21;21,75;X;;X;;;;;;;;;;22,25;Ocio bajo;2
3;22;15,5;X;;;;;;;;;;;;6,5;Ocio bajo;1
3;23;10;X;;;;;;;;;;;;12;Ocio bajo;1
4;0;5;;;;;;;;;;;;X;17;Ocio bajo;1
4;1;7,25;;;;;;;;;;;;X;14,75;Ocio bajo;1
4;2;5;;;;;;;;;;;;X;17;Ocio bajo;1
4;3;9,25;;;;;;;;;;;;X;12,75;Ocio bajo;1
4;4;25;;;;;;;;;;;;X;-3;Insuficiente;1
4;5;48,25;;;;;X;;;;X;;;X;17,75;Ocio bajo;3
4;6;71,25;;;;;X;;;;X;;X;X;16,75;Ocio bajo;4
4;7;77,75;;;;;X;;;;X;;X;X;10,25;Ocio bajo;4
4;8;71,5;;;;;X;;;;X;;X;X;16,5;Ocio bajo;4
4;9;58,5;;;;;X;;;;X;;X;;7,5;Ocio bajo;3
4;10;62,5;;;;;X;;;;X;;X;;3,5;Ocio bajo;3
4;11;64,25;;;;;X;;;;X;;X;;1,75;Ocio bajo;3
4;12;49,75;;;;;X;;;;X;;X;;16,25;Ocio bajo;3
4;13;57,25;;;;;X;;;;X;;X;;8,75;Ocio bajo;3
4;14;42,75;;X;;;;;;X;;;X;;23,25;Ocio bajo;3
4;15;56,5;X;X;;;;X;;X;;;;;31,5;Ocio alto;4
4;16;68,75;X;X;;;;X;;X;;;;;19,25;Ocio bajo;4
4;17;61;X;X;;;;X;;X;;;;;27;Ocio bajo;4
4;18;64,5;X;X;;;;X;;X;;;;;23,5;Ocio bajo;4
4;19;57,5;X;X;;;;X;;;;;;;8,5;Ocio bajo;3
4;20;38,5;;X;;X;;X;;;;;;;27,5;Ocio bajo;3
4;21;25,25;;X;;X;;X;;;;;;;40,75;Ocio alto;3
4;22;21,25;;;;X;;;;;;;;;0,75;Ocio bajo;1
4;23;12,75;;;;X;;;;;;;;;9,25;Ocio bajo;1
5;0;8,8;;;;;;;;;;X;;;13,2;Ocio bajo;1
5;1;7;;;;;;;;;;X;;;15;Ocio bajo;1
5;2;5,4;;;;;;;;;;X;;;16,6;Ocio bajo;1
5;3;10,2;;;;;;;;;;X;;;11,8;Ocio bajo;1
5;4;25,2;;;;;;;;;;X;;X;18,8;Ocio bajo;2
5;5;51;;;X;;;;;;;X;;X;15;Ocio bajo;3
5;6;67,2;;;X;;;;;X;;X;;X;20,8;Ocio bajo;4
5;7;73,2;;;X;;;;;X;;X;;X;14,8;Ocio bajo;4
5;8;63,8;;;X;;;;;X;;X;;X;24,2;Ocio bajo;4
5;9;59;;;X;;;;X;X;;;;X;29;Ocio bajo;4
5;10;59;;;X;;;;X;;;;;X;7;Ocio bajo;3
5;11;61,8;;;X;;;;X;;;;;X;4,2;Ocio bajo;3
5;12;58,8;;X;X;;;;X;;;;;X;29,2;Ocio bajo;4
5;13;62,6;;X;X;;X;;X;;;;;;25,4;Ocio bajo;4
5;14;58,4;;X;;;X;;X;;X;;;;29,6;Ocio bajo;4
5;15;67,8;;X;;;X;;X;;X;;;;20,2;Ocio bajo;4
5;16;77,8;X;;;;X;;X;;X;;;;10,2;Ocio bajo;4
5;17;72,4;X;;;;X;;X;;X;;;;15,6;Ocio bajo;4
5;18;67,2;X;;;;X;;;;X;;;;-1,2;Normalizado;3
5;19;58,6;X;;;;X;;;;X;;;;7,4;Ocio bajo;3
5;20;41,2;;;;;X;X;;;X;;;;24,8;Ocio bajo;3
5;21;21,8;;;;;X;X;;;;;;;22,2;Ocio bajo;2
5;22;14,2;;;;;;X;;;;;;;7,8;Ocio bajo;1
5;23;10;;;;;;X;;;;;;;12;Ocio bajo;1
6;0;7;;;;X;;;;;;;;;15;Ocio bajo;1
6;1;6,6;;;;X;;;;;;;;;15,4;Ocio bajo;1
6;2;7,8;;;;X;;;;;;;;;14,2;Ocio bajo;1
6;3;11,4;;;;X;;;;;;;;;10,6;Ocio bajo;1
6;4;28,6;;;;X;;;;;;X;;;15,4;Ocio bajo;2
6;5;51,6;;;;X;;;;;;X;X;;14,4;Ocio bajo;3
6;6;67,6;;X;;X;;;;;;X;X;;20,4;Ocio bajo;4
6;7;67,8;;X;;X;;;;;;X;X;;20,2;Ocio bajo;4
6;8;59;;X;;X;;;;;;X;X;;29;Ocio bajo;4
6;9;65;;X;;;;;;;;X;X;X;23;Ocio bajo;4
6;10;67,4;;X;;;;;;;;X;X;X;20,6;Ocio bajo;4
6;11;64;;;;;;;;;;X;X;X;2;Ocio bajo;3
6;12;62;;;;;;;;;;X;X;X;4;Ocio bajo;3
6;13;59,6;X;;;;;;;;;;X;X;6,4;Ocio bajo;3
6;14;65,8;X;;;;;X;;;;;;X;0,2;Ocio bajo;3
6;15;73,2;X;;;;;X;;X;;;;X;14,8;Ocio bajo;4
6;16;77,2;X;;;;;X;;X;;;;X;10,8;Ocio bajo;4
6;17;73,8;X;;;;;X;;X;;;;X;14,2;Ocio bajo;4
6;18;73,2;X;;;;;X;;X;X;;;;14,8;Ocio bajo;4
6;19;68,4;X;;;;;X;;X;X;;;;19,6;Ocio bajo;4
6;20;64,8;X;;;;;X;;X;X;;;;23,2;Ocio bajo;4
6;21;35,4;X;;;;;X;;;X;;;;30,6;Ocio alto;3
6;22;17,4;;;;;;;;;X;;;;4,6;Ocio bajo;1
6;23;8,8;;;;;;;;;X;;;;13,2;Ocio bajo;1
7;0;6,75;;;X;;;;;;;;;;15,25;Ocio bajo;1
7;1;6,75;;;X;;;;;;;;;;15,25;Ocio bajo;1
7;2;7,5;;;X;;;;;;;;;;14,5;Ocio bajo;1
7;3;4,25;;;X;;;;;;;;;;17,75;Ocio bajo;1
7;4;13,25;;;X;;;;;;;;;;8,75;Ocio bajo;1
7;5;25,5;;;X;;;;X;;;;;;18,5;Ocio bajo;2
7;6;38,25;;;X;;;;X;;;;;;5,75;Ocio bajo;2
7;7;51,5;;;X;;X;;X;;;;;;14,5;Ocio bajo;3
7;8;49,25;;;X;;X;;X;;;;;;16,75;Ocio bajo;3
7;9;52,75;;;;X;X;;X;;;;;;13,25;Ocio bajo;3
7;10;53,25;;;;X;X;;X;;;;X;;34,75;Ocio alto;4
7;11;59,25;;;;X;X;;X;;;;X;;28,75;Ocio bajo;4
7;12;70,75;;;;X;X;;X;;;;X;;17,25;Ocio bajo;4
7;13;62,25;;;;X;X;;X;;;;X;;25,75;Ocio bajo;4
7;14;70,25;;X;;X;X;;;;X;;;;17,75;Ocio bajo;4
7;15;75,5;;X;;X;X;;;;X;;;;12,5;Ocio bajo;4
7;16;78,5;;X;;X;;;;;X;X;;;9,5;Ocio bajo;4
7;17;69;;X;;X;;;;;X;X;;;19;Ocio bajo;4
7;18;66,75;;X;;;;;;;X;X;;;-0,75;Normalizado;3
7;19;53,75;;X;;;;;;;X;X;;;12,25;Ocio bajo;3
7;20;44;;X;;;;;;;X;;;X;22;Ocio bajo;3
7;21;19,75;;X;;;;;;;;;;X;24,25;Ocio bajo;2
7;22;10,5;;X;;;;;;;;;;X;33,5;Ocio alto;2
7;23;7,25;;;;;;;;;;;;X;14,75;Ocio bajo;1
